city,country,quality_of_life_index,safety_index,healthcare_index,climate_index,purchasing_power_index,cost_of_living_index,traffic_commute_index,pollution_index,green_space_index,walkability_index,accessibility_index,comfort_index,latitude,longitude,public_space_quality
London,UK,46.42,77.8,57.12,71.18,83.95,93.16,48.55,59.85,44.04,39.03,41.45,40.29,36.68752,35.47612,Moderate
Doha,Qatar,62.62,88.71,73.57,84.6,95.51,80.08,45.88,38.49,27.01,53.94,78.32,75.2,38.50702,55.16631,Good
Seoul,South Korea,40.18,65.7,79.39,94.04,41.14,62.28,20.97,73.11,52.03,39.43,46.38,36.87,24.59534,45.37677,Moderate
New York,USA,57.84,66.93,54.99,52.3,43.52,112.02,15.96,28.7,29.66,86.36,59.52,73.21,53.33251,103.19951,Moderate
Barcelona,Spain,49.06,41.43,62.75,92.67,109.59,31.88,72.82,61.14,91.07,36.08,55.08,48.6,36.93096,3.90285,Moderate
Kuala Lumpur,Malaysia,53.78,61.84,46.7,58.37,96.25,58.42,37.62,28.85,55.64,56.9,93.84,42.93,44.89505,-89.36888,Moderate
London,UK,49.64,66.96,49.96,58.13,111.28,35.12,51.19,67.09,43.79,67.4,55.42,90.86,26.66267,-48.30764,Moderate
Istanbul,Turkey,59.0,49.55,77.46,55.42,97.08,98.99,19.78,79.89,77.47,73.43,35.2,31.2,30.29989,50.54394,Moderate
Lahore,Pakistan,46.38,51.15,49.98,67.48,81.73,93.19,55.99,20.14,57.35,51.81,35.84,58.46,56.02897,37.47732,Moderate
New York,USA,41.63,57.64,68.88,44.25,87.14,59.82,70.95,79.33,43.25,85.84,68.4,31.41,45.91275,15.71583,Moderate
New York,USA,58.61,36.2,79.0,68.22,109.47,90.81,49.54,57.49,80.9,64.78,68.96,61.43,58.21023,55.98557,Moderate
Karachi,Pakistan,59.82,54.32,45.88,67.5,79.99,65.63,22.57,20.17,85.04,55.77,57.22,62.57,59.955,43.90858,Moderate
Kuala Lumpur,Malaysia,46.91,47.69,71.2,80.71,85.08,98.06,49.9,44.2,70.48,29.71,58.07,50.91,37.38696,108.5511,Moderate
Amsterdam,Netherlands,41.69,54.65,54.11,85.02,39.87,70.88,60.98,22.87,23.52,57.53,33.51,38.59,34.75691,30.29434,Moderate
Barcelona,Spain,49.76,42.19,92.96,61.43,70.02,67.11,39.38,66.03,62.47,82.45,63.58,54.47,54.90082,81.32936,Moderate
Karachi,Pakistan,55.1,88.43,66.6,53.14,93.06,114.13,67.79,70.71,77.25,68.02,62.81,73.7,59.95001,-59.0926,Moderate
Copenhagen,Denmark,45.53,70.62,84.33,50.56,50.74,52.58,53.92,18.46,30.24,83.25,39.72,80.86,46.66708,54.71838,Moderate
